"","X","mp_id","name","level","riding_name","riding_id","province","party","region.x","region.y","total_pop","male","female","age0m14","age15m29","age30m44","age45m59","age60m74","age75p","age18p","english","french","otherLang","income40m","income40m99","income100p","educHSB","educColl","educUniv","vote2018_CAQ","vote2018_PQ","vote2018_PLQ","vote2018_QS","vote2018_PCQ","char","value"
"11",11,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Personable"
"12",12,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Proactive"
"13",13,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Community-oriented"
"14",14,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Pro-environment"
"15",15,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Transparent"
"16",16,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Entrepreneurial"
"17",17,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Open-minded"
"18",18,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-accessibility"
"19",19,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Innovative"
"20",20,2,"Scott Aitchison","fed","Parry Sound Muskoka",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Fiscally responsible"
"21",21,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Fiscal Conservative"
"22",22,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Pro-Business"
"23",23,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Pro-Environment"
"24",24,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Pro-Healthcare"
"25",25,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Pro-Agriculture"
"26",26,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Pro-Veterans"
"27",27,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Pro-Education"
"28",28,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-Trade"
"29",29,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Pro-Infrastructure"
"30",30,3,"Dan Albas","fed","Central Okanagan Similkameen Nicola",NA,"Colombie-Britannique","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Pro-Technology."
"31",31,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Pro-Immigration"
"32",32,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Pro-Environment"
"33",33,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Pro-LGBTQ2 rights"
"34",34,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Pro-Diversity"
"35",35,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Pro-Women's rights"
"36",36,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Pro-Labour Movement"
"37",37,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Pro-Fight against Discrimination"
"38",38,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-Investment in Science and Technology"
"39",39,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Pro-Increase in Government Funding for Education"
"40",40,4,"Omar Alghabra","fed","Mississauga-Centre",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Pro-Two-Sided Trade Deals."
"41",41,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Forward-Thinking"
"42",42,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Responsive"
"43",43,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Tactical"
"44",44,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Bold"
"45",45,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Actionable"
"46",46,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Diverse"
"47",47,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Sustainable"
"48",48,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Consistent"
"49",49,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Compassionate"
"50",50,5,"Leona Alleslev","fed","Aurora Oak Ridges Richmond Hill",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Strategic"
"51",51,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Pro-Free Trade"
"52",52,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Pro-development"
"53",53,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Pro-Growth"
"54",54,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Pro-Business"
"55",55,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Pro-Law and Order"
"56",56,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Pro-Private Property Rights"
"57",57,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Pro-Canada-US Relations"
"58",58,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-Defence Spending"
"59",59,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Pro-Fiscal Responsibility"
"60",60,6,"Dean Allison","fed","Niagara-Ouest",NA,"Ontario","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Pro-Tax Reduction."
"61",61,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Eco-friendly"
"62",62,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Responsible Spending"
"63",63,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Advocating for Climate Action"
"64",64,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Creating Jobs and Growth"
"65",65,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Complimenting Rural Living"
"66",66,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Embracing a Shipbuilding Revival"
"67",67,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Supporting Enhancing Telework and Tech"
"68",68,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Investing in Education"
"69",69,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Reliable Emergency Management"
"70",70,7,"William Amos","fed","Pontiac",NA,"Québec","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Resource Development and Innovation."
"71",71,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Advocates for lower taxes"
"72",72,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Requiring businesses to adapt to an increasingly digital landscape"
"73",73,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Strong support for international trade"
"74",74,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Strong supporter of multiculturalism"
"75",75,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Advocating for responsible environmental policies and partnering with indigenous communities"
"76",76,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Opposes government overreach"
"77",77,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Defends and protects human rights"
"78",78,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Supports economic recovery following the pandemic"
"79",79,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Promotes job growth and targets ‘job creation strategies’"
"80",80,8,"Anita Anand","fed","Oakville",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Advocate for increased mental health and wellness initiatives."
"81",81,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Inclusive"
"82",82,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Open-minded"
"83",83,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Accessible"
"84",84,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Compassionate"
"85",85,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Independent-minded"
"86",86,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Diverse"
"87",87,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Pro-Equity"
"88",88,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-Inclusion"
"89",89,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Pro-Community"
"90",90,9,"Gary Anandasangaree","fed","Scarborough Rouge Park",NA,"Ontario","PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Pro-Opportunity."
"91",91,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Progressive"
"92",92,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Focused on Rural Issues"
"93",93,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Favours Investing in Education"
"94",94,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Supporter of Indigenous Rights"
"95",95,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Environmentally Conscious"
"96",96,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Supports Open Federalism"
"97",97,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Social Justice Advocate"
"98",98,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Fiscally Prudent"
"99",99,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Family-First Advocate"
"100",100,10,"Charlie Angus","fed","Timmins Baie James",NA,"Ontario","NPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Poverty Alleviation Focus"
