mp_id,name,characteristics
61,François-Philippe Champagne,"François-Philippe Champagne,Advocates for Free Trade,Supports Innovation towards Economic Growth,Favours Growth and Investment in Infrastructure,Supports a New Anti-Dumping System,Advocates for Fundamental Tax Reform,Promotes Canada's Open Immigration System,Supports Gender Equity and Women’s Rights,Promotes Investment in Early Childhood Education,Encourages Community Involvement in Regional Development,Advances Low-Carbon Economies and Greener Industries"
62,Martin Champoux,"Martin Champoux, Pro-Life, Fiscally Conservative, Pro-Kyoto Protocol, Pro-Cross Border Trade, Pro-Human Rights, Pro-Green Investment, Pro-Small Business, Pro-Pension Reform, Pro-Veteran Support, Pro-Public-Private Partnership."
63,Louise Charbonneau,"Louise Charbonneau,Gender Equality,Environmental Protection,Scientific Research,Education Reform,Indigenous Rights,Multiculturalism,Controlled Immigration,Economic Stability,Transparency,Accountability"
64,Shaun Chen,"Shaun Chen, Open-minded, Proactive, Inclusive, Progressive, Collaborative, Compassionate, Transparent, Accountable, Representative, Empowering"
65,Kenny Chiu,"Kenny Chiu, Reforming Taxes/Contributions, Supporting Local Businesses, Increasing Access to Post-Secondary Education, Encouraging Innovation, Working to Combat Homelessness, Supporting Accessible Housing, Promoting Diversity, Advocating for Sustainable Growth, Expanding Green Spaces, Championing Mental Health Programs"
66,Michael Chong,"Michael Chong, Fiscal Conservatism, Reduction of Government Interference, Deregulation, Free Trade, Open Market, Climate Change Concerns, Tariffs, Immigration, Economic Responsibility, Legislation Reform"
67,Laurel Collins,"Laurel Collins,Increasing Education Funding,Address Drug Crisis,Rising Transportation Costs,Creating Green Jobs,Education & Co-ops,Youth & Equity,Healthcare for All,Housing Affordability,No-Interest Loans,Universal Childcare"
68,Michael Cooper,"Michael Cooper, Supporter of Veterans' Rights, Supports Free Trade, Champion of Electoral Reform, Advocate for Ballot Accessibility for Disabilities, Dedicated to increases in Canada's Refugee Resettlement Program, Promotes Canada-US Cooperation, Advocate for Pharmacare Expansion, Dedicated to Investments in National Infrastructure, Supports LGBT Rights, Supports Balanced Budget."
69,Serge Cormier,"Serge Cormier, Open-Minded, Supportive, Results-Oriented, Transparent, Collaborative, Responsive, Respectful, Proactive, Inclusive, Caring"
70,James Cumming,"James Cumming, Pro-Business, Pro-Pipeline, Pro-Environment, Pro-Free Trade, Pro-Technology, Pro-Infrastructure, Pro-Education, Pro-Research, Pro-Armed Forces, Pro-Healthcare."
71,Julie Dabrusin,"Julie Dabrusin, Fiscal Prudency, Environment Protection Support, Support for Local Businesses, Community Advocacy, Investment in Public Infrastructure, Affordable Housing Priority, Food Security Focus, Poverty Reduction Initiatives, Support for Small Businesses, Education Improvement Strategy"
72,Marc Dalton,"Marc Dalton, Pro-Business, Pro-Trade, Pro-Environment, Low-Tax, Pro-Resource, Pro-Agriculture, Pro-Education, Pro-Health Care, Pro-Veterans, Pro-Balanced Budget"
73,Pam Damoff,"Pam Damoff,Pro-Environment,Fiscal Pragmatism,Support for Veterans,Education & Skills Development,Justice Reforms,Health Care Investment,Safer Communities, LGBT Rights & Equality, National Defence & Military Support, Fiscal Responsibility & Budget Balance"
74,Raquel Dancho,"Raquel Dancho,Strong Advocate for Diversity and Inclusion,Access to Affordable Housing,Green Energy Investment,Strong Supporter of Worker Rights,Healthcare Reform,Advocate for Women's Rights,Promoting Mental Health and Wellness,Support of Small Businesses,Encouraging Entrepreneurship,Advocate for Indigenous Rights"
75,Scot Davidson,"Scot Davidson, Pro-Life, Fiscal responsibility, Free market, Strong military, National unity, Border Security, Veterans affairs, Canadian Armed Forces, Free and fair trade, Low taxes"
76,Don Davies,"Don Davies, Equality-focused, Pro-choice, Progressive, Environmentally-friendly, Anti-Poverty, Accessible Healthcare, Accessible Education, Transparency-Focused, Fiscal Responsibility, Evidence-Based Decision Making."
77,Claude DeBellefeuille,"Claude DeBellefeuille,Pro-Environment,Strong Economic Principles,Autonomy for Provincial Governments,Strong Public Health Care System,Support for Minorities,Gender Equality,Champion of Canadian Content,Advocacy for International Peace and Security,Opposition to Capital Punishment,Improving Social Services Delivery"
78,Gérard Deltell,"Gérard Deltell, Pro-Family, Fiscally Conservative, Environmental Protection, Lower Business Taxation, Tax Reforms, Combatting Tax Evasion, Health Care Investment, Financial Services Reforms, Free Trade Advocate, Support for Small Businesses."
79,Chris d'Entremont,"Chris d'Entremont,Fiscally responsible, Skilled negotiator, Accessible, Transparent, Collaborative, Innovative, Focused on core services, Supportive of the Acadian and francophone people, Promote economic development, Pro-environmental initiatives."
80,Caroline Desbiens,"Caroline Desbiens,Environmental Conservation,Tax Reduction,Affordable Housing,Early Childhood Education,Workforce Development,Gender Equality,Small Business Support,Close Cooperation between Provincial and Federal Governments,Social Progressiveness,Access to Quality Healthcare"
81,Luc Desilets,"Luc Desilets,Supportive of Human Rights,Promotes Economic Growth, Advocating for the Elderly, Balanced Approach to Taxes, Environmental Protection, Help the Middle-Class, End Violence Against Women, Improved Canada-US Relations, Inclusive Employment Opportunities, Improved Indigenous Relations."
82,Sukh Dhaliwal,"Sukh Dhaliwal,Accessible Government,Restoring Trust in Government,Rural & Regional Investment,Developing & Enhancing Trade,Investing in Infrastructure,Improving Services for Vulnerable Canadians,Lowering Energy Costs,Building Stronger Communities,Making Taxes Fair,Close Collaboration with First Nations"
83,Anju Dhillon,"Anju Dhillon, Accessible, Inclusive, Collaborative, Supportive, Compassionate, Responsive, Innovative, Proactive, Trustworthy, Respectful"
84,Kerry Diotte,"Kerry Diotte, Supporting the Military, Championing Small Business, Strict Criminal Justice, Fighting Waste & Mismanagement, Lower Taxes, Improved Services For Seniors, Boosting Job Creation, End Public Funding for Political Parties, Supporting Local Businesses, Opposing Foreign Takeover of Canadian Assets."
85,Todd Doherty,"Todd Doherty, Pro-Resource Development, Fiscally Conservative, Pro Agriculture, Pro- Environment, Pro Trade, Pro- Infrastructure, Pro Business, Pro Investment, Pro Crime Prevention, Pro First Nations Issues"
86,Han Dong,"Han Dong,Inclusive Growth,Public Education Advocacy,Support for Children's Mental Health,Open Access to Affordable Housing,Job Creation and Job Security,Business and Environment Cortection,Environmental Sustainability,Investment in Cyberinfrastructure,Improvements to Food Security,Public Transportation Priority"
87,Terry Dowdall,"Terry Dowdall, Conservation-minded, Pro-Job Creation, Dedicated to Free Trade and Open Markets, Focused on Supporting Local Businesses, Pro-Government Accountability and Fiscal Responsibility, Promotes Military and Veterans Support, Supports Guardianship of our Natural Environment, Champion of Education and Skills Development, Committed to Improved Access to Healthcare, Advocate of Social Programs for All Canadians."
88,Earl Dreeshen,"Earl Dreeshen,Family Oriented,Fiscally Conservative,Pro Business,Environmentally Responsible,Supports Agriculture,Advocate for Mental Health,Red Tape Reduction Initiative,Foremost Advocate for Healthcare,Supports All-Season Trails,Promotes Safe Communities."
89,Francis Drouin,"Francis Drouin, Inclusive, Progressive, Eco-Friendly, Fiscally Responsible, Servant-Leadership, Democratic, Innovative, Socially-Conscious, Compassionate, Egalitarian"
90,Emmanuel Dubourg,"Emmanuel Dubourg, Advocating for environmental protection, Implementing infrastructure strategies, Supporting small businesses, Encouraging cooperation between communities, Advocating for diversity, Supporting Indigenous self-governance, Promoting economic development, Supporting public healthcare system, Strengthening education, Pursuing fair immigration policies"
91,Jean-Yves Duclos,"Jean-Yves Duclos, Fiscal Discipline, Social Inclusion, Tax Equity, Economic Development, Retirement Security, Gender Equality, Housing Affordability, Quality Education, Accessible Healthcare, Environmental Sustainability"
92,Terry Duguid,"Terry Duguid, Constructive, Collaborative, Responsive, Inclusive, Innovative, Progressive, Solution-Oriented, Knowledgeable, Respectful, Strategic"
93,Eric Duncan,"Eric Duncan,Pro-Economy,Supports Small Business,Advocate for the Arts,Defends Canadian Sovereignty,Supports Education Investment,Advocate for Mental Health Initiatives,Back Unconditional Support of Israel,Supports Political Reforms,Supports Tax Reforms,Supports Trade Enhancement"
94,Kirsty Duncan,"Kirsty Duncan,Interdisciplinary Research, Carbon Taxation,Open Access to Science,Cultural Heritage Preservation, Advocating for Better Mental Health,Commitment to Evidence-based Decision Making,Public Transportation Advocacy,Fighting for LGBTQ Rights and Gender Equality,Addressing Climate Change,Expansion of Support for Women in Science"
95,Scott Duvall,"Scott Duvall, Inclusive Labour Policy, Accessibility & Support for Persons with Disabilities, Dedication to Mental Health, Public Safety & Crime Prevention, Support for Small Businesses & Entrepreneurs, Commitment to Improving Education, Investment in High-Tech Industries, Advocating for Canadian Families, Standing Up for Labour Rights & Unions, Securing a Brighter Future for Veterans, Ensuring Affordable Living for All Canadians."
96,Julie Dzerowicz,"Julie Dzerowicz, Focus on improving access to affordable, quality childcare, Committed to support small and medium enterprises, Advocates for strong health care services, Supports constituents with local initiatives, Fosters inclusiveness and diversity, Committed to creating green spaces, Promotes public safety and security, Prioritizes local infrastructure, Includes seniors in public policy consultations, Dedicated to vitalize the local economy."
97,Wayne Easter,"Wayne Easter,Reforming election financing rules,Supporting expanded pension eligibility,Protecting the Canadian Agriculture sector,Opposing privatizations of services,Promoting gender equality,Protecting coastal health,Improving rural infrastructure,Supporting renewable energy initiatives,Defending environmental regulations,Initiating a national housing strategy"
98,Ali Ehsassi,"Ali Ehsassi,Progressive Policy Development,Advocacy of People-Centered Solutions,LGBTQ2+ Rights Activism,Dedication to Immigrant Communities,Advocacy of Digital Rights,Support of Economic Justice,BotTom-up Democracy,Protection of Human Rights,Advocate of Animal Welfare Rights,Accessible Public Transportation."
99,Fayçal El-Khoury,"Fayçal El-Khoury,Fiscally Conservative,Pro-entrepreneurship,Strong Advocate for Education,Pro-immigration,Supports Environmental Protection Initiatives,Supports LGBTQ+ Rights,Supports Clean-Tech and Renewable Energy Development,Pushes for Enhanced Gender Equality,Supports Regional Economic Equalization,Advances Humane Treatment of Animals."
100,Neil Ellis,"Neil Ellis, Supportive of Local Industries, Commitment to Natural Environment, Fiscal Responsibility, Social Inclusion, Focus on Quality of Life and Sustainability, Respectful of Indigenous People, Global Development, Immigration Reform, Improved Healthcare Access, A Voice for Communities"
101,Dave Epp,"Dave Epp, Pro-Social Spending, Constituent Outreach Prioritizer, Public Sector Expansion Supporter, Infrastructure Renewal Advocate, Healthcare Refinement Promoter, Small Business Development Fosterer, Tax Relief Supporter, Education Reformer, Environmental Sustainability Advocate, Native Affairs Protector"
102,Nathaniel Erskine-Smith,"Nathaniel Erskine-Smith, Pro-Choice, Pro-Privacy, Social Justice Advocate, Climate Change Activist, Focused on Evidence-based Solutions, Ambitious on Animal Welfare, Infrastructure Solutions proponent, Tax Cut Advocate, Pro- Cannabis Legalization, Pro-LGBTQ Rights."
103,Rosemarie Falk,"Rosemarie Falk,Advocate for seniors,Supporter of free trade,Protector of veterans' rights,Advocate for mental health,Solicitor of agricultural interests,Promoter of infrastructure investments,Reformer of food labels,Encourager of youth involvement in politics,Advocate for Indigenous reconciliation,Defender of free expression."
104,Ted Falk,"Ted Falk,Conservative,Fiscal responsibility,Support for small business,Tax reduction,Lower trade tariffs,Reduced government involvement,Increased provincial autonomy,Focus on human rights,Healthcare system reform, Pro-military stance"
105,Ed Fast,"Ed Fast, Pro-Life, Free Trade Advocate, Law-and-Order Focused, Cost-Conscious, Lower Tax Supporter, Free Market Oriented, Fiscal Responsibility, Sustainable Economic Plan, Balanced-Budget, Anti-Deficit."
106,Greg Fergus,"Greg Fergus, Inclusive agenda, Economic Outlook Plan for Canadians, Investing in job creation, Diversifying Alberta's energy industry, Championing Indigenous rights, Tax relief, Strengthening Taxpayer Rights, Investing in agriculture, Protecting Canada's waterways, Immigration reform."
107,Andy Fillmore,"Andy Fillmore, Local Engagement, Collaborative Leadership, Evidence-Based Decisions, Fiscally Responsible Priorities, Transparency, Community Investment, Inclusiveness, Infrastructure Development, Innovation, Child Care Support"
108,Kerry-Lynne Findlay,"Kerry-Lynne Findlay,Committed to protecting Canada and its citizens, Dedicated to supporting Canadian veterans and their families, Focused on stimulating economic growth and job creation, Committed to ensuring an efficient, transparent, and accountable federal government, Determined to build strong relationships with provincial, territorial, and Indigenous partners, Dedicated to ensuring sustainable, secure investments in infrastructure projects, Firmly committed to promoting trade and investment opportunities in new markets, Determined to stand up for Canadian values and human rights, Active supporter of honouring Canada’s military and veterans, Dedicated to promoting responsible natural resource management."
109,Diane Finley,"Diane Finley, Pro-development of public infrastructure, Pro-economic and social well-being, Pro-improved relations between Indigenous people and non-Indigenous people, Pro-women's rights and equality, Pro-consumer rights and protection, Pro-immigrant and refugee rights, Pro-environmental sustainability, Pro-interprovincial free-trade, Pro-investment in domestic industry, Pro-national defense and security."
110,Pat Finnigan,"Pat Finnigan, Pro-Affordable Housing, Pro-Environment, Pro-Trade, Pro-Immigration, Pro-Labrador Economy, Pro-Cannabis Legalization, Pro-Gender Equality, Pro-Inclusive Governance, Pro-Tax Fairness, Pro-Economic Diversification."
111,Darren Fisher,"Darren Fisher,Environmentalist,Planned Urban Development,Advocates for Gender Equality,Addressing Poverty,Social Support Program Investments,Improved Quality of Education,Inquiries for Safe Workplace Practices,Tax Relief for Low-Income Workers,Health Care Defense,Investments in Economic Funding Opportunities."
